objname,ra2000,de2000,t,type,v,logd25,d25,bt,incl,col10,_r,_RAJ2000,_DEJ2000,WISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cntr,snr1,chi2W1,snr2,chi2W2,snr3,chi2W3,snr4,chi2W4,nb,na,sat1,sat2,sat3,sat4,ccf,ex,var,nW1,mW1,nW2,mW2,nW3,mW3,nW4,mW4,2Mkey,d2M,name,semimaj_arcsec,axial_ratio,pos_angle,dist
NGC4192,183.4512,14.89996,2.6,SABb,739,2.04,10.964781,10.85,90,,5.55E-04,183.451238,14.900514,J121348.29+145401.8,183.451238,14.900514,0.054,0.051,126,8.833,0.023,8.736,0.02,5.86,0.014,3.888,0.02,11.532,0.096,10.599,0.09,10.244,0.077,1.83E+18,46.4,39.5,54,28.9,76.1,35.5,55.1,6.83,1,0,0,0,0,0,0,5,9290,111,13,13,13,13,13,13,13,1039788699,0.095,NGC4192,487.430047,4.048549987,65.5398535,15.44
NGC4388,186.44505,12.66202,2.8,Sb,2516,1.73,5.3703182,11.9,90,,2.05E-04,186.444952,12.662201,J122546.78+123943.9,186.444952,12.662201,0.05,0.047,103,9.116,0.022,8.105,0.019,4.612,0.015,1.509,0.015,12.482,0.066,11.73,0.091,11.066,0.051,1.87E+18,49.4,33.3,57.8,7.79,74.8,6.02,71.9,2.31,1,0,0,0,0,0,0,5,1010,-23,11,11,11,11,11,11,11,846854999,0.741,NGC4388,351.090978,3.253611285,-0.360627699,19.96
NGC0678,27.35355,21.99728,3,SBb,2793,1.49,3.0902955,13.35,90,,8.70E-05,27.353506,21.997357,J014924.84+215950.4,27.353506,21.997357,0.061,0.059,17,9.393,0.023,9.404,0.019,7.89,0.017,5.782,0.036,11.907,0.074,11.106,0.097,10.968,0.088,2.76E+17,47.2,51.9,55.9,34.7,63.7,5.72,30.5,1.34,1,0,0,0,0,0,0,5,9300,87,23,23,23,23,23,23,22,341066481,0.29,NGC0678,240.3184161,3.116983101,-12.66630273,27.88
NGC4216,183.97635,13.14958,3,SABb,133,1.89,7.762470911,10.95,90,,2.80E-04,183.976628,13.14951,J121554.39+130858.2,183.976628,13.14951,0.056,0.055,173,8.137,0.021,8.13,0.019,7.045,0.014,5.608,0.034,10.773,0.095,10.361,0.137,9.857,0.095,1.85E+18,51.8,76.1,58.6,71.4,76.3,26.2,31.7,3.84,1,0,0,0,0,0,0,5,9400,111,12,12,12,12,12,12,12,1039825591,0.499,NGC4216,507.1687071,4.15037327,111.0013009,16.59
NGC5560,215.0205,3.99192,3,SBb,1731,1.54,3.4673682,13.18,90,,0.001626,215.019005,3.992569,J142004.56+035933.2,215.019005,3.992569,0.055,0.054,148,10.763,0.022,10.715,0.02,7.144,0.014,4.846,0.025,14.158,0.18,13.516,0.211,12.975,0.17,2.16E+18,49,105,54,52,75.1,37.4,43.2,10.8,1,0,0,0,0,0.003,0,5,9744,33,35,35,35,35,28,28,30,960801430,0.86,NGC5560,234.4184398,3.06481059,27.35332966,20.58
NGC5746,221.23335,1.95472,3,SABb,1708,1.86,7.244359839,11.34,90,,3.75E-04,221.233317,1.955094,J144455.99+015718.3,221.233317,1.955094,0.059,0.056,131,8.801,0.023,8.776,0.02,7.336,0.015,5.661,0.032,11.065,0.038,10.395,0.048,9.986,0.043,2.21E+18,47.8,78.9,54.2,50.2,70.2,21.8,33.5,4.22,1,0,0,0,0,0,0,5,9920,0,25,25,25,25,25,25,25,938229456,0.628,NGC5746,388.6068689,7.51703346,79.98959804,29.79
NGC0891,35.6397,42.34712,3.1,Sb,528,2.12,13.18256391,10.84,90,,0.00185,35.637753,42.348283,J022233.06+422053.8,35.637753,42.348283,0.049,0.046,155,8.658,0.019,8.187,0.018,4.947,0.013,2.503,0.019,12.975,,12.176,0.124,11.743,0.153,3.64E+17,57.1,216,61,135,85.9,89.8,56.4,84.9,1,0,0,0,0,0,0hh0,5,3199,0,12,12,12,12,12,12,12,1316753882,2.637,NGC0891,518.7706578,3.082542843,113.7741595,10.09
NGC3692,172.10115,9.40754,3.1,Sb,1709,1.51,3.235936498,13.14,90,,9.69E-04,172.100197,9.407773,J112824.04+092427.9,172.100197,9.407773,0.077,0.076,77,10.441,0.028,10.4,0.023,8.328,0.022,6.568,0.07,13.166,0.129,12.464,0.163,11.8,0.081,1.72E+18,39.3,43.5,47.1,28.7,48.7,8.62,15.4,1.2,3,0,0,0,0,0.001,0,5,9741,0,14,14,14,14,14,14,11,863592725,0.649,NGC3692,169.1079125,2.150822349,2.912648532,37.07
NGC4013,179.6307,43.94673,3.1,Sb,836,1.69,4.897788839,12.39,90,,8.40E-04,179.630953,43.94755,J115831.42+435651.1,179.630953,43.94755,0.052,0.05,122,9.265,0.023,9.08,0.02,6.321,0.013,4.185,0.021,12.379,,12.09,0.123,11.05,0.052,1.79E+18,47.6,109,55.3,63.2,82.2,30.2,52.2,8.89,1,0,0,0,0,0,0,5,9353,11,18,18,18,18,18,18,18,567153004,1.173,NGC4013,344.8801539,3.02361809,-23.87234003,18.76
NGC4217,183.96225,47.0919,3.1,Sb,1000,1.73,5.3703182,12.05,81,,5.03E-04,183.962924,47.091694,J121551.10+470530.1,183.962924,47.091694,0.058,0.054,104,9.568,0.024,9.244,0.021,5.775,0.015,3.914,0.023,12.86,,11.69,,11.551,0.051,1.83E+18,45.5,95.9,52.2,58.6,71.2,45.1,46.5,45.1,3,0,0,0,0,0,hh00,5,9993,0,16,16,16,16,16,16,16,253012298,1.845,NGC4217,411.7482379,2.226756066,133.3252748,19.37
NGC4307,185.5233,9.04361,3.2,Sb,1058,1.54,3.4673682,12.8,90,,4.16E-04,185.523508,9.043972,J122205.64+090238.2,185.523508,9.043972,0.06,0.059,66,10.378,0.023,10.316,0.021,7.606,0.016,5.583,0.033,14.029,0.193,13.189,0.206,12.518,0.119,1.85E+18,47.6,97.8,52.7,48.8,69.4,20.7,33.3,5.1,1,0,0,0,0,0,0,5,9120,-82,15,15,14,14,14,14,15,864543978,1.104,NGC4307,227.4344329,3.011353437,114.0186163,22.21
NGC5777,222.8244,58.97809,3.2,Sb,2148,1.47,2.951209421,14.17,90,,2.80E-04,222.824063,58.97787,J145117.77+585840.3,222.824063,58.97787,0.055,0.053,79,9.852,0.023,9.741,0.02,6.714,0.014,4.747,0.024,13.482,0.021,11.248,,10.811,,2.22E+18,48.1,47.5,54.3,28.7,77.6,20.5,45.7,2.59,1,0,0,0,0,0,dd00,5,9111,0,35,35,35,35,32,32,32,587259005,1.425,NGC5777,171.4111134,2.237177896,58.55157617,44.49
NGC4402,186.5316,13.11312,3.3,Sb,235,1.55,3.548133503,12.95,81.5,,5.32E-04,186.53149,13.112599,J122607.55+130645.3,186.53149,13.112599,0.055,0.051,101,10.32,0.023,10.07,0.022,6.142,0.014,4.163,0.021,13.939,0.099,13.573,0.2,11.895,,1.86E+18,46.4,116,50.2,56.9,80,64.4,52.4,28.1,1,0,0,0,0,0,0,5,9461,111,13,13,13,13,13,13,13,846873365,0.623,NGC4402,270.6377736,2.227644235,-0.317924159,14.83
NGC4565,189.08655,25.98719,3.3,Sb,1226,2.22,16.59587017,10.06,90,,5.05E-04,189.086547,25.987695,J123620.77+255915.7,189.086547,25.987695,0.056,0.054,156,8.235,0.021,8.198,0.019,6.534,0.014,4.884,0.03,10.641,0.049,10.059,0.07,9.612,0.046,1.88E+18,51.2,78.9,55.9,48.3,77.9,44.4,36.3,13.1,1,0,0,0,0,0,0,5,9262,11,14,14,14,14,14,14,14,1063417675,0.329,NGC4565,1003.816841,7.632529002,46.05070648,12.10
NGC5348,208.5468,5.22723,3.8,SBbc,1451,1.59,3.890451749,14.18,90,,3.34E-04,208.547047,5.227004,J135411.29+051337.2,208.547047,5.227004,0.079,0.078,126,12.505,0.024,12.464,0.024,9.379,0.028,7.411,0.085,16.016,0.252,13.787,,13.544,,2.08E+18,45,45.1,44.7,9.8,38.8,2.67,12.8,1.04,1,0,0,0,0,0,0,5,3110,111,26,26,26,26,24,24,10,867063592,0.262,NGC5348,203.9834482,2.560997998,83.91813044,19.04
NGC5356,208.74345,5.33361,3.8,SABb,1372,1.45,2.818383241,13.63,90,,3.67E-04,208.743088,5.333679,J135458.34+052001.2,208.743088,5.333679,0.064,0.063,162,11.378,0.024,11.431,0.021,8.319,0.018,6.272,0.042,15.094,0.203,14.348,0.24,12.612,,2.08E+18,46.2,83.2,52.5,31,59.7,9.96,25.7,2.58,1,0,0,0,0,0,0,5,9400,111,26,26,26,26,25,25,24,863944639,0.477,NGC5356,217.8194562,2.810101898,107.1724566,25.54
NGC5577,215.3046,3.43581,3.8,Sbc,1489,1.46,2.884031756,13.54,84.2,,1.77E-04,215.304743,3.435915,J142113.13+032609.2,215.304743,3.435915,0.074,0.073,159,11.86,0.024,11.898,0.024,8.877,0.024,6.734,0.054,15.114,0.18,14.427,0.198,14.095,0.168,2.15E+18,45.7,61.8,45.5,15.5,46.1,5.25,20,1.81,1,0,0,0,0,0,0,5,9411,-101,30,30,29,29,22,22,19,960825667,0.752,NGC5577,160.7285988,2.057036006,-33.35275005,23.23
NGC4206,183.82005,13.02386,4,Sbc,702,1.67,4.677350951,12.85,90,,1.45E-04,183.82005,13.024005,J121516.81+130126.4,183.82005,13.024005,0.074,0.071,130,11.553,0.023,11.586,0.022,8.666,0.025,6.555,0.064,14.704,0.102,14.043,0.17,13.68,0.142,1.83E+18,47.3,71.5,49.4,23.6,43.3,8.02,17,1.94,1,0,0,0,0,0,0,5,1100,87,12,12,12,12,12,12,11,1039807542,0.112,NGC4206,252.6547268,3.209757048,91.67662049,20.16
NGC4527,188.53395,2.65334,4,SABb,1736,1.8,6.309572752,11.48,81.2,,0.001636,188.535419,2.654064,J123408.50+023914.6,188.535419,2.654064,0.049,0.046,106,8.267,0.021,7.974,0.02,4.247,0.016,1.87,0.016,11.407,0.111,10.539,0.122,9.717,0.068,1.89E+18,51.6,72.5,53.2,43.5,67.3,50.8,68.2,40.4,1,0,0,0,0,0.009,0,5,3295,87,10,10,10,10,10,10,10,848049697,0.56,NGC4527,417.4334078,2.940066516,-25.38625699,14.32
NGC4607,190.3014,11.88627,4,SBbc,2248,1.46,2.884031756,13.74,90,,0.001054,190.301681,11.887288,J124112.40+115314.2,190.301681,11.887288,0.056,0.052,88,10.827,0.021,10.555,0.02,6.561,0.014,4.348,0.026,14.788,0.179,12.63,,12.136,,1.90E+18,51.4,116,54.9,45.6,78.6,40.2,41.9,10.8,1,0,0,0,0,0,0,5,9197,-101,15,15,15,15,11,11,12,865427368,0.631,NGC4607,191.9703158,2.314341926,90.39546889,17.78
NGC5290,206.32965,41.71242,4,Sbc,2560,1.51,3.235936498,13.29,80.5,,1.83E-04,206.329893,41.712396,J134519.17+414244.6,206.329893,41.712396,0.055,0.054,106,9.409,0.023,9.09,0.02,6.769,0.014,4.799,0.024,12.014,0.049,11.457,0.072,10.934,0.05,2.06E+18,47.6,47.4,53.3,22.2,77.8,16.9,44.3,4.23,1,0,0,0,0,0,0,5,9642,11,35,35,35,35,35,35,35,215916735,0.038,NGC5290,199.716597,2.212757176,-2.442538564,35.01
NGC6814,295.6692,-10.3237,4,SABb,1563,1.49,3.0902955,12.1,85.6,,1.08E-04,295.669111,-10.323636,J194240.58-101925.0,295.669111,-10.323636,0.053,0.052,3,9.412,0.023,8.863,0.019,6.094,0.015,3.661,0.02,12.248,0.087,11.416,0.086,10.779,0.06,2.95E+18,47.5,31,57.7,12.7,71.9,3.91,54.6,4.23,1,0,0,0,0,0,0,5,112,0,13,13,13,13,12,12,12,468145635,0.159,NGC6814,188.5453664,1.080822448,-36.63190676,22.80
NGC1351A,52.20315,-35.17825,4.2,SBbc,1353,1.4,2.511886294,13.8,82.1,,1.24E-04,52.203121,-35.178128,J032848.74-351041.2,52.203121,-35.178128,0.082,0.076,164,12.164,0.025,12.194,0.023,9.437,0.025,7.651,0.092,14.214,,13.416,,14.302,0.189,5.29E+17,43.4,42.4,46.5,12.7,44,2.85,11.8,1.2,2,0,0,0,0,0,0,5,9011,11,37,37,36,36,35,35,8,179516936,0.461,NGC1351A,151.861068,1.988544489,43.11021498,22.01
NGC5301,206.60265,46.10725,4.7,SBc,1506,1.6,3.981071924,13.34,90,,5.17E-04,206.602816,46.107754,J134624.67+460627.9,206.602816,46.107754,0.029,0.028,115,11.004,0.021,10.897,0.02,7.483,0.016,5.312,0.027,13.265,,12.585,,12.825,0.084,2.07E+18,50.9,110,53.9,51,69.5,34.1,40.5,11.7,1,0,0,0,0,0,0,5,9451,0,20,20,20,20,18,18,18,620366244,1.036,NGC5301,245.2900199,2.89218338,56.66063345,23.01
UGC07982,192.4593,2.85209,4.7,Sc,1155,1.46,2.884031756,14.04,81.6,,4.95E-04,192.459194,2.852574,J124950.20+025109.2,192.459194,2.852574,0.076,0.073,126,11.897,0.021,11.939,0.023,8.988,0.029,7.191,0.11,14.485,0.123,14.121,0.209,13.769,0.133,1.92E+18,53,93.8,46.5,24.7,37.7,5.15,9.9,1.16,1,0,0,0,0,0,0,5,0,87,11,11,11,11,11,11,5,856974444,1.372,UGC07982,190.608398,2.448270585,90.21566726,19.98
NGC7721,354.70215,-6.51798,4.9,Sc,2014,1.49,3.0902955,12.25,81.4,,5.82E-04,354.702725,-6.517871,J233848.65-063104.3,354.702725,-6.517871,0.056,0.055,9,10.569,0.023,10.484,0.02,6.758,0.015,4.641,0.024,14.059,0.145,13.16,0.165,12.379,0.089,3.55E+18,48.2,74,55.6,38.1,71,31.3,46.2,11.6,1,0,0,0,0,0,0,5,5421,0,13,13,13,13,13,13,13,106206954,0.315,NGC7721,223.1536672,2.817018888,107.7799891,21.88
IC2531,149.98125,-29.61755,5,Sc,2473,1.82,6.606935278,12.9,90,,4.14E-04,149.981225,-29.617137,J095955.49-293701.6,149.981225,-29.617137,0.067,0.065,154,10.262,0.024,10.195,0.02,8.145,0.02,6.29,0.045,14.326,0.182,13.214,0.182,12.487,0.14,1.50E+18,45.6,69,53.8,41.3,53.7,13.1,23.9,2.34,1,0,0,0,0,0,0,5,9510,0,16,16,16,16,15,15,13,415322267,0.689,IC2531,217.9350658,2.8276446,-19.02954592,34.28
NGC7090,324.12045,-54.55761,5,Sc,851,1.91,8.128304537,11.31,90,,3.84E-04,324.120389,-54.557228,J213628.89-543326.0,324.120389,-54.557228,0.065,0.061,153,11.286,0.02,11.099,0.023,7.742,0.016,5.718,0.047,15.114,0.192,14.488,0.233,12.8,,3.24E+18,53.8,97.7,48.2,28.4,66.4,18.9,23.2,3.4,3,0,0,0,0,0,0,5,0,0,10,10,10,10,10,10,10,727391772,1.853,NGC7090,425.0030181,4.165488637,37.03982825,8.23
NGC0253,11.88795,-25.28844,5.1,SABc,246,2.43,26.91535218,7.93,90,,2.25E-04,11.888081,-25.288249,J004733.13-251717.6,11.888081,-25.288249,0.005,0.004,0,5.865,0.032,5.264,0.022,0.074,0.05,-2.725,0.001,11.233,0.142,10.001,0.18,8.639,0.072,1.16E+17,33.6,38.4,49.9,47,21.7,1.58,798.5,412,1,0,0.093,0.069,0.269,0.19,00hh,5,31nn,0,14,14,14,14,14,14,14,521628647,1.584,NGC0253,1739.198454,3.726710697,-39.61845472,3.24
NGC5529,213.89205,36.22674,5.2,Sc,2878,1.76,5.754399247,12.77,90,,5.65E-04,213.892478,36.227187,J141534.19+361337.8,213.892478,36.227187,0.059,0.057,158,10.172,0.022,10.11,0.02,7.726,0.015,5.911,0.033,12.604,,11.94,0.042,11.476,0.039,2.15E+18,49.2,78.5,53.9,44.8,73.2,20.4,32.6,3.27,1,0,0,0,0,0,0,5,9210,0,28,28,28,28,27,27,27,218748269,0.534,NGC5529,368.0242355,4.97486279,23.46805775,44.13
NGC5907,228.9735,56.32891,5.3,SABc,667,2.05,11.22018331,11.06,90,,3.92E-04,228.972823,56.328796,J151553.47+561943.6,228.972823,56.328796,0.052,0.049,80,9.118,0.023,8.948,0.019,5.992,0.013,4.058,0.022,11.992,,11.725,0.103,10.921,0.056,2.29E+18,47.4,101,56.2,73.7,86.6,81,49.8,41.7,1,0,0,0,0,0,hh00,5,9899,0,33,33,33,33,31,31,31,620778725,0.909,NGC5907,564.3736192,5.698381744,63.8774324,15.92
NGC4302,185.4264,14.59814,5.4,Sc,1126,1.78,6.025595464,12.52,90,,2.87E-04,185.42632,14.597864,J122142.31+143552.3,185.42632,14.597864,0.063,0.062,98,9.877,0.026,9.631,0.022,6.932,0.016,5.125,0.03,13.643,0.138,12.85,0.196,12.007,0.12,1.85E+18,42,62.1,50.4,42.8,69.3,29.9,36.3,7.23,2,0,0,0,0,0,0,5,9451,111,12,13,13,13,13,13,13,1053241585,0.754,NGC4302,416.5436114,5.265258775,88.14518819,20.95
NGC4289,185.25945,3.72208,5.7,Sc,2615,1.63,4.265795141,14.54,90,,3.52E-04,185.259748,3.722268,J122102.33+034320.1,185.259748,3.722268,0.034,0.033,76,10.45,0.023,10.387,0.021,7.698,0.02,5.972,0.054,13.603,0.114,12.729,0.109,12.088,0.091,1.85E+18,46.7,62.1,51.5,29.6,55,15.8,20,2.21,1,0,0,0,0,0,0,5,90n0,-31,24,24,10,10,7,7,8,855437440,0.822,NGC4289,360.7609607,4.769445833,82.81749317,42.11
IC4213,198.0465,35.67015,5.8,Sc,815,1.4,2.511886294,13.9,86.5,,0.001183,198.046695,35.671322,J131211.20+354016.7,198.046695,35.671322,0.099,0.094,83,13.029,0.027,12.974,0.029,10.05,0.042,7.819,0.124,,,,,,,1.98E+18,40.2,33.1,37.5,7.54,25.9,1.55,8.7,1.08,1,0,0,0,0,0,0,3,1220,0,18,18,18,18,18,18,5,0,,IC4213,189.794666,4.678486112,89.86616069,19.77
NGC4183,183.3204,43.69854,5.8,Sc,920,1.63,4.265795141,12.84,90,,2.58E-04,183.320169,43.698343,J121316.84+434154.0,183.320169,43.698343,0.071,0.069,114,11.837,0.023,11.787,0.023,8.418,0.021,6.419,0.051,14.096,,14.53,0.198,13.124,,1.83E+18,46.8,70.6,48,22.5,51.9,6.57,21.2,1.28,1,0,0,0,0,0,0,5,1000,0,14,14,14,14,14,14,14,562950819,0.974,NGC4183,253.6402101,3.263009738,79.7047893,17.64
UGC07522,186.49395,3.42937,5.8,Sc,1419,1.42,2.630267732,14.52,90,,6.82E-04,186.493267,3.429388,J122558.38+032545.7,186.493267,3.429388,0.105,0.093,142,11.778,0.026,11.712,0.029,9.44,0.056,7.781,0.274,15.166,0.195,12.924,,12.573,,1.86E+18,41,23.3,38,7.33,19.2,2.2,4,1.19,3,0,0,0,0,0,0,3,00nn,-118,12,12,11,11,5,5,0,855549867,1.341,UGC07522,135.4534474,1.75538996,36.35442534,40.91
